"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US510594154013","Block Group 3, Census Tract 4154.01, Fairfax County, Virginia","181","118","14","24","0","13","25","37","62","58","13","21","0","13","0","13","0","13","0","13","10","19","0","13","57","94","0","13","0","13","0","13","0","13",
"1500000US510594154021","Block Group 1, Census Tract 4154.02, Fairfax County, Virginia","376","69","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","22","23","0","13","28","26","42","30","64","43","220","76",
"1500000US510594154022","Block Group 2, Census Tract 4154.02, Fairfax County, Virginia","360","122","0","13","78","118","0","13","10","15","0","13","0","13","0","13","0","13","11","16","20","22","10","16","7","13","0","13","30","23","55","39","139","45",
"1500000US510594154023","Block Group 3, Census Tract 4154.02, Fairfax County, Virginia","422","84","12","18","17","22","0","13","0","13","8","13","0","13","10","16","36","54","12","19","11","19","29","32","72","55","103","55","39","38","34","28","39","31",
"1500000US510594155001","Block Group 1, Census Tract 4155, Fairfax County, Virginia","703","106","18","28","0","13","0","13","0","13","0","13","0","13","0","13","17","27","36","42","17","28","33","38","88","60","48","45","42","40","140","63","264","85",
"1500000US510594155002","Block Group 2, Census Tract 4155, Fairfax County, Virginia","298","75","1","2","17","30","0","13","0","13","17","27","0","13","0","13","0","13","0","13","0","13","32","40","30","34","57","44","0","13","22","26","122","64",
"1500000US510594155003","Block Group 3, Census Tract 4155, Fairfax County, Virginia","698","213","16","24","0","13","0","13","135","114","0","13","0","13","0","13","0","13","0","13","0","13","0","13","12","19","37","43","40","33","104","62","354","200",
"1500000US510594155004","Block Group 4, Census Tract 4155, Fairfax County, Virginia","803","480","123","96","19","29","138","136","17","27","15","25","0","13","65","75","0","13","0","13","39","63","17","27","0","13","0","13","42","38","0","13","328","462",
"1500000US510594156001","Block Group 1, Census Tract 4156, Fairfax County, Virginia","579","72","0","13","0","13","10","15","0","13","11","16","0","13","11","17","6","9","0","13","0","13","7","11","38","31","17","19","30","27","78","42","371","73",
"1500000US510594156002","Block Group 2, Census Tract 4156, Fairfax County, Virginia","426","93","8","14","0","13","10","16","0","13","22","46","0","13","0","13","0","13","0","13","29","25","20","24","43","30","14","11","17","19","41","33","222","72",
"1500000US510594157001","Block Group 1, Census Tract 4157, Fairfax County, Virginia","442","78","0","13","13","20","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","26","25","8","12","11","16","33","29","152","76","199","58",
"1500000US510594157002","Block Group 2, Census Tract 4157, Fairfax County, Virginia","799","72","0","13","18","27","0","13","0","13","13","21","0","13","7","11","0","13","14","14","29","27","5","8","34","34","54","40","74","40","187","67","364","87",
"1500000US510594158001","Block Group 1, Census Tract 4158, Fairfax County, Virginia","513","144","8","13","0","13","10","15","10","16","0","13","0","13","0","13","9","14","9","14","0","13","19","21","10","14","68","40","104","119","130","79","136","50",
"1500000US510594158002","Block Group 2, Census Tract 4158, Fairfax County, Virginia","587","68","0","13","1","2","11","17","0","13","31","26","16","25","19","22","11","18","0","13","0","13","8","13","52","33","65","52","58","41","103","46","212","59",
"1500000US510594158003","Block Group 3, Census Tract 4158, Fairfax County, Virginia","615","101","10","16","11","18","10","15","0","13","0","13","0","13","0","13","0","13","12","17","89","90","36","29","4","6","15","16","47","30","66","38","315","78",
"1500000US510594159001","Block Group 1, Census Tract 4159, Fairfax County, Virginia","316","71","7","12","6","10","0","13","0","13","0","13","10","16","10","16","0","13","0","13","0","13","0","13","0","13","8","15","52","42","24","23","199","75",
"1500000US510594159002","Block Group 2, Census Tract 4159, Fairfax County, Virginia","919","171","49","48","0","13","7","11","0","13","10","15","0","13","16","18","0","13","0","13","6","8","57","48","34","24","63","47","196","150","168","66","313","80",
"1500000US510594160001","Block Group 1, Census Tract 4160, Fairfax County, Virginia","577","178","15","17","0","13","0","13","0","13","8","12","0","13","0","13","0","13","6","10","85","136","61","65","77","53","43","29","57","49","81","50","144","57",
"1500000US510594160002","Block Group 2, Census Tract 4160, Fairfax County, Virginia","1280","248","98","84","65","61","68","71","42","52","199","194","74","59","17","29","54","51","33","36","87","59","44","47","95","67","90","71","36","27","121","66","157","63",
"1500000US510594160003","Block Group 3, Census Tract 4160, Fairfax County, Virginia","236","82","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","12","20","6","15","38","29","13","20","58","40","109","67",
"1500000US510594161001","Block Group 1, Census Tract 4161, Fairfax County, Virginia","856","85","0","13","0","13","0","13","0","13","17","27","28","30","0","13","9","16","14","16","19","23","59","60","75","50","107","47","98","53","123","57","307","70",
"1500000US510594161002","Block Group 2, Census Tract 4161, Fairfax County, Virginia","578","213","89","100","0","13","0","13","6","10","0","13","0","13","0","13","12","18","113","185","0","13","0","13","25","30","32","27","9","13","64","33","228","72",
"1500000US510594162001","Block Group 1, Census Tract 4162, Fairfax County, Virginia","587","239","20","25","20","20","0","13","0","13","0","13","14","21","0","13","6","9","30","27","27","22","0","13","203","231","41","34","69","50","113","41","44","34",
"1500000US510594162002","Block Group 2, Census Tract 4162, Fairfax County, Virginia","744","120","19","29","0","13","15","23","12","20","11","18","24","27","5","8","31","30","41","40","48","23","147","59","230","121","80","48","20","20","50","34","11","17",
"1500000US510594163001","Block Group 1, Census Tract 4163, Fairfax County, Virginia","331","37","6","8","0","13","0","13","9","10","3","5","5","7","6","8","0","13","4","6","6","8","21","22","17","15","21","17","44","25","34","22","155","36",
"1500000US510594163002","Block Group 2, Census Tract 4163, Fairfax County, Virginia","377","59","10","11","5","7","18","17","13","22","0","13","0","13","25","23","0","13","0","13","21","15","38","49","30","19","42","22","32","32","65","28","78","27",
"1500000US510594201001","Block Group 1, Census Tract 4201, Fairfax County, Virginia","279","74","0","13","10","17","0","13","0","13","0","13","19","22","25","29","0","13","0","13","0","13","18","20","5","13","15","18","92","67","70","43","25","23",
"1500000US510594201002","Block Group 2, Census Tract 4201, Fairfax County, Virginia","898","162","0","13","28","43","10","16","0","13","33","42","9","15","34","40","28","25","10","16","23","27","71","49","86","48","132","140","87","44","147","71","200","75",
"1500000US510594202011","Block Group 1, Census Tract 4202.01, Fairfax County, Virginia","521","117","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","15","13","21","19","29","56","41","73","42","39","31","84","60","228","103",
"1500000US510594202012","Block Group 2, Census Tract 4202.01, Fairfax County, Virginia","534","111","0","13","8","13","0","13","0","13","0","13","0","13","15","20","0","13","0","13","16","18","0","13","47","33","124","98","81","42","148","66","95","51",
"1500000US510594202013","Block Group 3, Census Tract 4202.01, Fairfax County, Virginia","276","67","0","13","0","13","0","13","0","13","0","13","0","13","10","15","0","13","0","13","18","25","25","27","38","30","12","18","24","28","30","35","119","62",
"1500000US510594202021","Block Group 1, Census Tract 4202.02, Fairfax County, Virginia","858","144","5","9","0","13","0","13","10","15","9","14","0","13","27","29","0","13","19","29","0","13","69","49","47","32","267","149","117","54","183","78","105","45",
"1500000US510594202022","Block Group 2, Census Tract 4202.02, Fairfax County, Virginia","285","76","0","13","0","13","0","13","15","26","0","13","0","13","0","13","0","13","0","13","0","13","41","34","112","72","65","44","20","20","13","17","19","29",
"1500000US510594202031","Block Group 1, Census Tract 4202.03, Fairfax County, Virginia","1033","111","6","9","0","13","6","9","6","9","4","6","23","27","4","6","28","31","15","15","25","25","51","34","58","32","89","41","117","42","227","95","374","85",
"1500000US510594203001","Block Group 1, Census Tract 4203, Fairfax County, Virginia","648","104","28","32","0","13","7","13","54","51","0","13","14","22","0","13","0","13","0","13","0","13","36","31","49","46","91","60","60","54","131","59","178","82",
"1500000US510594203002","Block Group 2, Census Tract 4203, Fairfax County, Virginia","663","182","0","13","0","13","17","29","0","13","0","13","0","13","32","36","0","13","0","13","113","111","65","60","74","53","38","41","15","24","34","38","275","182",
"1500000US510594203003","Block Group 3, Census Tract 4203, Fairfax County, Virginia","186","67","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","29","38","16","28","9","16","87","58","45","35",
"1500000US510594203004","Block Group 4, Census Tract 4203, Fairfax County, Virginia","397","137","0","13","0","13","0","13","20","31","0","13","16","26","0","13","0","13","0","13","0","13","0","13","33","40","73","79","77","83","44","42","134","62",
"1500000US510594204001","Block Group 1, Census Tract 4204, Fairfax County, Virginia","1064","139","7","11","42","63","0","13","0","13","14","21","44","43","0","13","7","11","12","19","60","44","60","57","88","51","243","105","131","52","185","78","171","70",
"1500000US510594204002","Block Group 2, Census Tract 4204, Fairfax County, Virginia","1040","258","36","36","12","19","6","11","8","12","54","51","58","48","7","11","7","11","42","36","156","124","315","217","111","47","100","67","44","42","41","38","43","58",
